State,Program Name,Type
Nevada,Boulder City Public Works - Energy Efficient Appliance Program,Rebate Program
Oregon,EPUD - Solar Water Heater Rebate,Rebate Program
Oregon,EWEB - Residential Solar Water Heating Rebate,Rebate Program
South Carolina,Palmetto Electric Cooperative - Buried Treasure,Rebate Program
Texas,Austin Energy - Solar Water Heating Rebate,Rebate Program
Wisconsin,Madison Gas & Electric - Utility Solar Water Heating Rebate Program,Rebate Program
Texas,Austin Energy - Solar Loan Program,Loan Program
California,SMUD - Residential Solar Loan Program,Loan Program
Oregon,EPUD - Solar Water Heater Loan,Loan Program
Oregon,EWEB - Residential Solar Water Heating Loan Program,Loan Program
Texas,Austin Energy - Home Energy Loans,Loan Program
Virginia,Clean-Fuel Vehicles and Refueling Property Credit,Corporate Tax Credit
Indiana,Distributed Generation Grant Program (DGGP),Grant Program
California,SMUD - PV Pioneer II Loan,Loan Program
Arizona,APS - Remote Solar Electric Services,Other Incentive
California,Plumas-Sierra REC - Geothermal and Photovoltaic Leasing Program,Leasing Program
Colorado,Aspen and Pitkin County - Efficient Building Program,Building Energy Code
Wyoming,Carbon Power & Light - Photovoltaic Leasing Program,Leasing Program
Maryland,Residential Solar Rebates,Rebate Program
California,SMUD - PV Pioneer II Loan,Other Incentive
Kansas,Alternative Fuel Vehicle and Refueling Station Personal Tax Credit,Personal Tax Credit
Texas,Big Country Electric Coop - PV Water Pump Sales & Lease Program,Leasing Program
Wyoming,Photovoltaic Leasing Program,Other Incentive
North Dakota,Renewable Energy Tax Credit,Corporate Tax Credit
Florida,Fuel Mix Disclosure,Generation Disclosure
Montana,Fuel Mix and Emissions Disclosure,Generation Disclosure
Arkansas,Net Metering,Net Metering
Florida,New Smyrna Beach Utilities Commission - PV Program,Rebate Program
North Carolina,Renewable Energy Tax Credit (Corporate),Corporate Tax Credit
North Carolina,Renewable Energy Tax Credit (Personal),Personal Tax Credit
Tennessee,TVA - Green Power Providers,Performance-Based Incentive
Massachusetts,Open PV Installation Program,Rebate Program
New York,PV on Buildings Incentive (>15 kW),Rebate Program
California,Emerging Renewables Program,Rebate Program
New York,NYSERDA - CHP and Renewable Generation Technical Assistance,Grant Program
California,Self-Generation Incentive Program,Rebate Program
Wyoming,Net Metering,Net Metering
Rhode Island,PV & Wind Rebate Program,Rebate Program
Colorado,Delta-Montrose Electric Association - Net Metering,Net Metering
California,Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,Property Tax Incentive
Arizona,TEP - Residential Solar Water Heating Incentive,Rebate Program
Arizona,TEP - SunShare PV Purchase,Other Incentive
West Virginia,Special Assessment for Wind Energy Systems,Property Tax Incentive
Michigan,Fuel Mix and Emissions Disclosure,Generation Disclosure
California,City of Los Angeles - Green Power Purchasing,Green Power Purchasing
New Jersey,Renewables Portfolio Standard,Renewables Portfolio Standard
New Jersey,Environmental Information Disclosure,Generation Disclosure
California,Solar Energy and Distributed Generation Grant Program,Grant Program
Maryland,Clean Energy Procurement,Green Power Purchasing
California,Pasadena Water and Power - Solar Power Installation Rebate,Rebate Program
Georgia,Net Metering,Net Metering
Washington,Renewable Energy Sales and Use Tax Exemption,Sales Tax Incentive
North Dakota,Large Wind Property Tax Reduction,Property Tax Incentive
North Dakota,"Sales Tax Exemption for Wind, Other Generators and Hydrogen Facilities",Sales Tax Incentive
Massachusetts,Cape & Islands Self-Reliance Corporation - Home Energy Loan Program,Loan Program
New York,Renewable Power Procurement Policy,Green Power Purchasing
Illinois,DCEO - Solar Energy Incentive Program,Grant Program
Illinois,Renewable Portfolio Standard,Renewables Portfolio Standard
Illinois,Solar and Wind Energy Rebate Program,Rebate Program
Kansas,Parallel Generation Law,Net Metering
Oregon,Lane Electric Coop - The Bright Way to Heat Water Loan,Loan Program
Oregon,Lane Electric Coop - The Bright Way to Heat Water Rebate,Rebate Program
New Jersey,New Jersey Renewable Energy Incentive Program (Sustainable Biopower),Rebate Program
New Mexico,PV Leasing Program,Leasing Program
Hawaii,Kauai Electric - Residential Solar Water Heating Program,Rebate Program
New Jersey,Renewable Energy Advanced Power Program,Grant Program
Hawaii,Smart Renewable Energy Tariffs,Net Metering
Hawaii,KIUC - Solar Water Heating Loan Program,Loan Program
Hawaii,KIUC - Solar Water Heating Rebate Program,Rebate Program
Hawaii,Solar Water Heating Systems for State Facilities,Energy Standards for Public Buildings
Pennsylvania,Pennsylvania Energy Harvest Grant Program,Grant Program
Minnesota,Wind Energy Sales Tax Exemption,Sales Tax Incentive
Minnesota,Solar-Electric (PV) Sales Tax Exemption,Sales Tax Incentive
South Carolina,Myrtle Beach - Green Power Purchasing,Green Power Purchasing
Montana,Alternative Energy Revolving Loan Program,Loan Program
Minnesota,Non-Mandated Renewable Energy Objective,Renewables Portfolio Standard
Hawaii,Renewable Portfolio Standard,Renewables Portfolio Standard
Missouri,Missouri - Net Metering,Net Metering
Michigan,Community Energy Project Grants,Grant Program
Montana,Alternative Energy Investment Tax Credit (Corporate),Corporate Tax Credit
Montana,Residential Geothermal Systems Credit,Personal Tax Credit
West Virginia,Fuel Mix and Emissions Disclosure,Generation Disclosure
Arkansas,Disclosure,Generation Disclosure
Colorado,Alternative Fuel Vehicle and Refueling - Corporate Tax Credit,Corporate Tax Credit
New York,Renewable Energy Technology Options Program,Grant Program
Montana,Interconnection Standards,Interconnection
Kansas,Alternative Fuels Loan Program,Loan Program
Kansas,Alternative Vehicle Requirement for State Fleets,Other Policy
Nebraska,Ethanol Production Incentive,Corporate Tax Credit
Pennsylvania,Penelec SEF of the Community Foundation for the Alleghenies Loan Program (FirstEnergy Territory),Loan Program
Oklahoma,Zero-Emission Facilities Production Tax Credit,Corporate Tax Credit
Washington,Whatcom 1000 Solar Rooftop Project,Loan Program
Washington,Mandatory Utility Green Power Option,Mandatory Utility Green Power Option
Montana,Montana Electricity Buying Cooperative,Mandatory Utility Green Power Option
Washington,Seattle - Green Power Purchasing,Green Power Purchasing
Oregon,OTEC - Residential Photovoltaic Rebate Program,Rebate Program
Delaware,Delmarva Power - Green Energy Program Incentives,Rebate Program
California,Anaheim Public Utilities - PV Buydown Program,Rebate Program
California,Solar or Wind Energy System Credit - Corporate,Corporate Tax Credit
Rhode Island,Small Customer Incentive Program for Green Power Marketers,Industry Recruitment/Support
Maryland,Income Tax Credit for Green Buildings (Corporate),Corporate Tax Credit
Maryland,Income Tax Credit for Green Buildings (Personal),Personal Tax Credit
Oregon,Residential Energy Tax Credit,Personal Tax Credit
Oregon,Contractor Licensing,Solar/Wind Contractor Licensing
Wisconsin,Wisconsin Municipal Utility Solar Energy Cash Allowance,Rebate Program
Minnesota,Solar-Electric (PV) Rebate Program,Rebate Program
Colorado,Fuel Mix Disclosure,Generation Disclosure
Delaware,Fuel Mix Disclosure,Generation Disclosure
Minnesota,Fuel Mix and Emissions Disclosure,Generation Disclosure
New York,Environmental Disclosure Program,Generation Disclosure
Virginia,Fuel Mix and Emissions Disclosure,Generation Disclosure
Minnesota,Renewable Development Fund (RDF),Public Benefits Fund
California,Tax Deduction for Interest on Loans for Energy Efficiency,Personal Tax Deduction
California,Solar or Wind Energy System Credit - Personal,Personal Tax Credit
Ohio,ODOD - Renewable Energy Loan Program,Loan Program
Pennsylvania,Sustainable Development Fund Solar PV Grant Program (PECO Territory),Rebate Program
Colorado,Alternative Fuel Vehicle and Refueling - Personal Tax Credit,Personal Tax Credit
New York,NYSERDA - New Construction Program,Rebate Program
Illinois,Illinois - Green Power Purchasing,Green Power Purchasing
Utah,Clean Fuel Vehicle Tax Credit - Corporate,Corporate Tax Credit
Washington,Pacific County PUD - Solar Water Heater Rebate,Rebate Program
Ohio,Ethanol Investment Tax Credit - Corporate,Corporate Tax Credit
Pennsylvania,West Penn Power SEF Grant Program,Grant Program
Utah,Clean Fuel Grant Program,Grant Program
Pennsylvania,Met-Ed / Penelec Sustainable Energy Fund,Grant Program
Pennsylvania,Sustainable Energy Fund (SEF) Loan Program (PPL Territory),Loan Program
Pennsylvania,Sustainable Development Fund Grant Program (PECO Territory),Grant Program
Pennsylvania,SEF of Central Eastern Pennsylvania Grant Program (PP&L Territory),Grant Program
Pennsylvania,West Penn Power SEF Commercial Loan Program,Loan Program
North Carolina,Energy Improvement Loan Program (EILP),Loan Program
Oregon,BEF - Renewable Energy Grant,Grant Program
Utah,Clean Fuel Loan Program,Loan Program
Utah,Clean Fuel Tax Exemption and Certificate,Sales Tax Incentive
Montana,NorthWestern Energy - Sun4Communities,Rebate Program
Washington,Franklin County PUD - Solar Energy System Rebate,Rebate Program
New York,System Benefits Charge,Public Benefits Fund
New York,"NY-Sun PV Incentive Program (Residential, Low-Income, and Small Business)",Rebate Program
Texas,Hansford County Tax Abatement,Industry Recruitment/Support
Washington,WesternSUN - Extreme Green,Performance-Based Incentive
Oregon,Custom Renewable Energy Projects,Grant Program
Colorado,Gunnison County Electric - Renewable Energy Resource Loan,Loan Program
Iowa,Ethanol-Blended Gasoline Tax Credit,Corporate Tax Credit
Hawaii,Capital Goods Excise Tax Credit,Corporate Tax Credit
Missouri,Ethanol Production Incentive,Performance-Based Incentive
Missouri,Biodiesel Production Incentive,Performance-Based Incentive
North Dakota,Ethanol Production Incentive,Performance-Based Incentive
Wisconsin,Ethanol Production Incentive,Performance-Based Incentive
New Mexico,Renewable Portfolio Standard,Renewables Portfolio Standard
Connecticut,Fuel Cell Initiative,Grant Program
Wyoming,Ethanol Production Tax Credit,Corporate Tax Credit
South Dakota,Ethanol Production Incentive,Performance-Based Incentive
New Mexico,Renewable Energy Production Tax Credit (Corporate),Corporate Tax Credit
Oregon,EWEB - PV Partners,Net Metering
Massachusetts,Renewable Energy Trust Fund,Public Benefits Fund
South Dakota,Ethanol Excise Tax Rates,Corporate Tax Exemption
California,Redding Electric - Renewable Energy Rebate Program,Rebate Program
Wisconsin,Focus on Energy - Renewable Energy Zero-Interest Loans,Loan Program
Wisconsin,Residential and Commercial Solar Rebate Program,Rebate Program
Utah,Net Billing,Net Metering
California,Energy Financing Industrial Development Bond Program,Loan Program
Arizona,Maricopa Assn. of Governments - Solar Domestic Water Heating Permitting Standards,Solar/Wind Permitting Standards
Rhode Island,Renewable Generation Supply Incentive,Performance-Based Incentive
Hawaii,Reduced Highway Taxes for Alternative Fuels,Sales Tax Incentive
Hawaii,High Technology Business Investment Tax Credit,Industry Recruitment/Support
Arizona,APS - Solar Water Heating Incentive Program,Rebate Program
Nebraska,Lincoln Electric System - Geothermal Heat Pump Rebate,Rebate Program
Alaska,Motor Fuel Tax Reduction for Gasohol,Sales Tax Incentive
Tennessee,Wind Energy Systems Exemption,Property Tax Incentive
Washington,Chelan County PUD - Sustainable Natural Alternative Power Producers Program,Performance-Based Incentive
Kansas,Qualified Agricultural Ethyl Alcohol Producer Incentive,Performance-Based Incentive
Washington,BEF - Solar Starters,Performance-Based Incentive
Mississippi,Ethanol Production Incentive,Performance-Based Incentive
Pennsylvania,The Energy Cooperative - Solar Energy Buy-Back Program,Performance-Based Incentive
South Dakota,Small Commercial Wind Energy Property Tax Assessment,Property Tax Incentive
New York,School Power Naturally,Grant Program
Arkansas,Interconnection Guidelines,Interconnection
California,Interconnection Standards,Interconnection
Delaware,Interconnection Guidelines,Interconnection
Florida,Interconnection of Small Photovoltaic Systems,Interconnection
Georgia,Interconnection Guidelines,Interconnection
Missouri,Interconnection Guidelines,Interconnection
Kansas,Interconnection Standards,Interconnection
Ohio,Ethanol Investment Tax Credit - Personal,Personal Tax Credit
Maryland,Interconnection Standards,Interconnection
Montana,Yellowstone Valley Electric Coop - Solar Stock Watering Units,Other Incentive
Indiana,Energy Efficiency and Renewable Energy Set-Aside,Grant Program
Nevada,Interconnection Standards,Interconnection
Montana,Property Tax Exemption for Ethanol Production Facilities,Property Tax Incentive
New Jersey,Interconnection Standards,Interconnection
New Mexico,Interconnection Standards,Interconnection
New York,Interconnection Standards,Interconnection
Tennessee,Tennessee - Green Power Purchase,Green Power Purchasing
Ohio,Interconnection Standards,Interconnection
Oregon,Interconnection Standards,Interconnection
Georgia,Alternative Fuel Vehicle Credit - Personal,Personal Tax Credit
Rhode Island,National Grid (Narragansett) - Interconnection Guidelines,Interconnection
Texas,Interconnection Standards,Interconnection
Utah,Interconnection Standards,Interconnection
Vermont,Interconnection Standards,Interconnection
Virginia,Interconnection Standards,Interconnection
Washington,Interconnection Standards,Interconnection
Georgia,Alternative Fuel Vehicle Credit - Corporate,Corporate Tax Credit
California,Public Leadership Solutions for Energy (PULSE) Loan,Loan Program
Indiana,Biodiesel Tax Credits,Corporate Tax Credit
Washington,Clallam County PUD - Residential Solar Rebate Program,Rebate Program
Montana,Tax Incentive for Production of Alcohol,Performance-Based Incentive
Virginia,Solar Manufacturing Incentive Grant (SMIG) Program,Industry Recruitment/Support
Montana,Personal Income Tax Credit for Alternative Fuel Motor Vehicle Conversion,Personal Tax Credit
Vermont,Solar & Wind Incentive Program,Rebate Program
California,Small Business Loans for Solar,Loan Program
